Deskripsi,Judul,Link Berita,Tanggal Terbit
PDIP menganggap klaim tersebut sebagai fitnah dan manipulasi opini yang sengaja menyeret nama Megawati dan partai.,Salah! Megawati Bekingi Tersangka Kasus Judi Online,https://turnbackhoax.id/2024/12/03/salah-megawati-bekingi-tersangka-kasus-judi-online/,2024/12/03
Tidak ada sumber kredibel yang membenarkan klaim tentang “Prabowo tidak segan-segan seret Jokowi ke meja hijau jika masih sok berkuasa”.,Salah! Prabowo Tidak Segan-Segan Seret Jokowi ke Meja Hijau,https://turnbackhoax.id/2024/12/03/salah-prabowo-tidak-segan-segan-seret-jokowi-ke-meja-hijau/,2024/12/03
"Faktanya, tidak ada sumber kredibel yang membenarkan adanya aksi massa desak Prabowo tendang dinasti Raja Jawa.",Salah! Ada Aksi Massa Desak Prabowo Tendang Dinasti Raja Jawa,https://turnbackhoax.id/2024/12/03/salah-ada-aksi-massa-desak-prabowo-tendang-dinasti-raja-jawa/,2024/12/03
Masyarakat—jika masuk dalam kriteria penerima—tidak perlu mendaftar atau menghubungi nomor WhatsApp tertentu. Calon penerima diusulkan oleh kepala desa atau pejabat setingkat di daerah masing-masing.,Salah! Ada Nomor WhatsApp untuk Terima Rice Cooker dari Pemerintah,https://turnbackhoax.id/2024/12/03/salah-ada-nomor-whatsapp-untuk-terima-rice-cooker-dari-pemerintah/,2024/12/03
Tidak ditemukan sumber kredibel yang membenarkan narasi tersebut.,Salah! Budi Arie Ancam Bongkar Rahasia Negara Bila Dipecat,https://turnbackhoax.id/2024/12/03/salah-budi-arie-ancam-bongkar-rahasia-negara-bila-dipecat/,2024/12/03
Dokumentasi yang beredar merupakan momen helikopter Israel sedang menembakkan suar di jalur Gaza pada Maret 2019.,Salah! Foto Helikopter Israel Ditembak di Lebanon Saat Angkut Korban Tentara Zionis,https://turnbackhoax.id/2024/12/02/salah-foto-helikopter-israel-ditembak-di-lebanon-saat-angkut-korban-tentara-zionis/,2024/12/02
"Pertamina belum menerima kabar mengenai hal itu dari pemerintah, serta menganggap informasi yang beredar sebagai hoaks.",Salah! 2026 Subsidi Gas LPG 3 Kg Bakal Diganti Bantuan Uang,https://turnbackhoax.id/2024/12/02/salah-2026-subsidi-gas-lpg-3-kg-bakal-diganti-bantuan-uang/,2024/12/02
"Faktanya, penanganan batu ginjal disesuaikan dengan letak dan ukuran batu ginjal. Perlu uji klinis lebih lanjut tentang manfaat daun meniran dalam mengatasi batu ginjal.",Belum Terbukti Daun Meniran Bisa Keluarkan Batu Ginjal Tanpa Operasi,https://turnbackhoax.id/2024/12/02/belum-terbukti-daun-meniran-bisa-keluarkan-batu-ginjal-tanpa-operasi/,2024/12/02
"Benda jatuh—yang terlihat seperti awan—di wilayah tambang Adaro di Muara Tuhup, Murung Raya, Kalteng Adaro itu merupakan busa.",Salah! Dokumentasi Awan Jatuh ke Permukaan Tanah,https://turnbackhoax.id/2024/12/02/salah-dokumentasi-awan-jatuh-ke-permukaan-tanah/,2024/12/02
"Konten yang beredar merupakan hasil rekayasa kecerdasan buatan (AI), probabilitas atau kemungkinannya mencapai 99,8 persen.",Salah! Video Burung Bertopi Langka Asal Kalimantan,https://turnbackhoax.id/2024/12/02/salah-video-burung-bertopi-langka-asal-kalimantan/,2024/12/02
"Faktanya, pemeriksaan kolesterol dilakukan dengan pengambilan darah untuk mengetahui kadar lemak dalam darah.",Salah! Periksa Kolesterol Lewat Genggaman Telapak Tangan,https://turnbackhoax.id/2024/12/02/salah-periksa-kolesterol-lewat-genggaman-telapak-tangan/,2024/12/02
Tidak ada pengobatan khusus untuk demam berdarah. Fokus utama penanganan adalah mengobati gejala nyeri,Salah! Pijat untuk Sembuhkan Demam Berdarah,https://turnbackhoax.id/2024/12/02/salah-pijat-untuk-sembuhkan-demam-berdarah/,2024/12/02
"Faktanya, gaji bukan objek pajak pertambahan nilai (PPN) dan hanya dikenakan pemotongan pajak penghasilan (PPh).",Salah! Gaji UMR Dipotong PPN 12%,https://turnbackhoax.id/2024/11/30/salah-gaji-umr-dipotong-ppn-12/,2024/11/30
"Perusahaan masih aktif melakukan beragam aktivitas, salah satunya gelaran PRUActive Family 2024 yang berlangsung Oktober—Desember 2024.",Salah! Perusahaan Asuransi Prudential Bangkrut,https://turnbackhoax.id/2024/11/30/salah-perusahaan-asuransi-prudential-bangkrut/,2024/11/30
"Belum ada pernyataan resmi dan pembahasan antara Presiden Prabowo, Kemenag, dan Kemendikdasmen tentang libur sekolah di bulan puasa 2025.",Salah! Presiden Prabowo Mau Liburkan Sekolah Satu Bulan Saat Puasa,https://turnbackhoax.id/2024/11/30/salah-presiden-prabowo-mau-liburkan-sekolah-satu-bulan-saat-puasa/,2024/11/30
"Audio dalam unggahan yang beredar merupakan rekayasa AI, probabilitas atau kemungkinannya mencapai 92 persen.",Penipuan Erick Thohir dan Dokter Zaidul Akbar Promosi Obat Prostatitis,https://turnbackhoax.id/2024/11/30/penipuan-erick-thohir-dan-dokter-zaidul-akbar-promosi-obat-prostatitis/,2024/11/30
"Faktanya, Elon Musk pada Juli 2023 menyebut kendaraan dengan bahan bakar air merupakan sesuatu yang konyol.",[SALAH] Elon Musk Mau Alihkan Tesla Jadi Mobil Berbahan Bakar Air?,https://turnbackhoax.id/2024/11/30/salah-elon-musk-mau-alihkan-tesla-jadi-mobil-berbahan-bakar-air/,"November 30, 2024"
"Faktanya, belum ada laman (dalam skala nasional) untuk bantuan pestisida atau alat pertanian. Pengajuan bantuan dilakukan lewat Dinas Pertanian masing-masing kabupaten.",[PENIPUAN] Tautan Pendaftaran Bantuan Pestisida dan Alat Pertanian,https://turnbackhoax.id/2024/11/30/penipuan-tautan-pendaftaran-bantuan-pestisida-dan-alat-pertanian/,"November 30, 2024"
"Faktanya, peminat umroh gratis dari Gajah Duduk tidak perlu mengisi formulir pendaftaran lewat tautan apapun.",[PENIPUAN] Tautan Pendaftaran Undian Umroh Gratis dari Gajah Duduk,https://turnbackhoax.id/2024/11/30/penipuan-tautan-pendaftaran-undian-umroh-gratis-dari-gajah-duduk/,"November 30, 2024"
Konteks asli video tak ada kaitannya dengan konflik yang terjadi di Laut Merah.,[SALAH] Video Serangan Yaman ke Armada Amerika di Laut Merah,https://turnbackhoax.id/2024/11/30/salah-video-serangan-yaman-ke-armada-amerika-di-laut-merah/,"November 30, 2024"
Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen) menegaskan penyaluran bantuan kuota internet telah berakhir pada Mei 2021.,[PENIPUAN] Tautan Bantuan Kuota Internet dari Kemendikbud (Kementerian Pendidikan Dasar dan Menengah),https://turnbackhoax.id/2024/11/30/penipuan-tautan-bantuan-kuota-internet-dari-kemendikbud-kementerian-pendidikan-dasar-dan-menengah/,"November 30, 2024"
"Faktanya, seluruh rekrutmen pegawai Direktorat Jenderal Pajak dilakukan oleh Kementerian Keuangan.",[PENIPUAN] Kantor Pelayanan Pajak (KPP) Buka Loker Pegawai,https://turnbackhoax.id/2024/11/30/penipuan-kantor-pelayanan-pajak-kpp-buka-loker-pegawai/,"November 30, 2024"
Video yang beredar merupakan gabungan dari dokumentasi pengundian grup untuk Asian Cup 2023 dan World Cup 2022.,[SALAH] Indonesia Masuk ke Grup C di Piala Dunia 2026,https://turnbackhoax.id/2024/11/29/salah-indonesia-masuk-ke-grup-c-di-piala-dunia-2026/,"November 29, 2024"
Penyakit jantung hanya bisa dideteksi dengan anamnesis dan pemeriksaan penunjang dari dokter.,[SALAH] Memeriksa Kesehatan Jantung dengan Menekan Kaki,https://turnbackhoax.id/2024/11/29/salah-memeriksa-kesehatan-jantung-dengan-menekan-kaki/,"November 29, 2024"
"Faktanya, tidak ada sumber kredibel yang membenarkan Hasto Kristiyanto terancam dipenjara akibat bongkar kebusukan Jokowi.",[SALAH] Hasto Terancam Dipenjara Akibat Bongkar Kebusukan Jokowi,https://turnbackhoax.id/2024/11/29/salah-hasto-terancam-dipenjara-akibat-bongkar-kebusukan-jokowi/,"November 29, 2024"
"Faktanya, jembatan dalam konten yang beredar bukan berada di Bromo, melainkan di Shenxianju (China).",[SALAH] Dokumentasi Jembatan Kaca di Bromo,https://turnbackhoax.id/2024/11/29/salah-dokumentasi-jembatan-kaca-di-bromo/,"November 29, 2024"
BPOM RI menegaskan vaksin Covid-19 dan kedua obat tersebut tidak mengandung babi.,"[SALAH] Paramex, Promag, dan Vaksin Covid-19 Mengandung Minyak Babi",https://turnbackhoax.id/2024/11/29/salah-paramex-promag-dan-vaksin-covid-19-mengandung-minyak-babi/,"November 29, 2024"
Kreator konten David Gadgetin menegaskan akun tersebut bukan miliknya.,[PENIPUAN] Tautan Promo Earphone Bluetooth dari Facebook David Gadgetin,https://turnbackhoax.id/2024/11/29/penipuan-tautan-promo-earphone-bluetooth-dari-facebook-david-gadgetin/,"November 29, 2024"
"Faktanya, tautan resmi pendaftaran program “Petani Milenial” adalah latihanonline.pertanian.go.id.",[PENIPUAN] Tautan Pendaftaran Petani Milenial di Facebook,https://turnbackhoax.id/2024/11/29/penipuan-tautan-pendaftaran-petani-milenial-di-facebook/,"November 29, 2024"
Pihak Shell Indonesia menegaskan informasi “penutupan SPBU Shell di seluruh Indonesia” itu tidak benar.,[SALAH] Shell Mau Tutup Seluruh SPBU-nya di Indonesia,https://turnbackhoax.id/2024/11/29/salah-shell-mau-tutup-seluruh-spbu-nya-di-indonesia/,"November 29, 2024"
"Faktanya, pembukaan loker Kemsetneg hanya melalui proses penyeleksian calon pegawai negeri sipil (CPNS) dan pegawai pemerintah dengan perjanjian kerja (PPPK).",[PENIPUAN] Informasi Loker di Kementerian Sekretariat Negara,https://turnbackhoax.id/2024/11/28/penipuan-informasi-loker-di-kementerian-sekretariat-negara/,"November 28, 2024"
Tidak ditemukan bukti ilmiah yang mendukung klaim.,[SALAH] Penyakit Liver Bisa Disembuhkan Pakai Seduhan Daun Sembung,https://turnbackhoax.id/2024/11/27/salah-penyakit-liver-bisa-disembuhkan-pakai-seduhan-daun-sembung/,"November 27, 2024"
Pihak Tim Pemenangan Pramono-Rano telah menegaskan informasi tersebut merupakan hoaks.,"[SALAH] Pramono Anung Gusur Warga, Nggak Masalah yang Penting Kebijakan Jalan",https://turnbackhoax.id/2024/11/27/salah-pramono-anung-gusur-warga-nggak-masalah-yang-penting-kebijakan-jalan/,"November 27, 2024"
"Faktanya, teknik yang diperlihatkan dalam video adalah akupunktur atau acupressure.",[SALAH] Memijat Area Telapak Tangan Mampu Sembuhkan Penyakit Jantung,https://turnbackhoax.id/2024/11/27/salah-memijat-area-telapak-tangan-mampu-sembuhkan-penyakit-jantung/,"November 27, 2024"
Tidak ditemukan pernyataan resmi dari KPK atau pemberitaan media kredibel yang membenarkan narasi.,[SALAH] KPK Tetapkan Donna Harun Jadi Tersangka Kasus Pencucian Uang,https://turnbackhoax.id/2024/11/27/salah-kpk-tetapkan-donna-harun-jadi-tersangka-kasus-pencucian-uang/,"November 27, 2024"
Tidak ditemukan pernyataan resmi dari Prabowo maupun pemberitaan media kredibel yang membenarkan klaim.,[SALAH] Prabowo Bakal Posisikan Polri di Bawah Naungan TNI,https://turnbackhoax.id/2024/11/27/salah-prabowo-bakal-posisikan-polri-di-bawah-naungan-tni/,"November 27, 2024"
Tautan dalam unggahan mengarah ke laman tak resmi. Akun Facebook penyebar informasi juga bukanlah media sosial resmi milik Bank BJB.,Penipuan Surat Pemberitahuan Perubahan Biaya Transfer Bank BJB,https://turnbackhoax.id/2024/11/27/penipuan-surat-pemberitahuan-perubahan-biaya-transfer-bank-bjb/,2024/11/27
"Faktanya, video yang beredar merupakan potongan dokumentasi perayaan kelulusan Akademi Militer Mesir pada Oktober 2024.",Salah! Video Pasukan Jet Israel Pulang Dengan Selamat Usai Menyerang Iran,https://turnbackhoax.id/2024/11/27/salah-video-pasukan-jet-israel-pulang-dengan-selamat-usai-menyerang-iran/,2024/11/27
Konteks asli video adalah potongan dokumentasi pendukung Timnas Oman yang marah atas kekalahan negaranya dari Timnas Yordania bulan Oktober lalu.,Salah! Pendukung Arab Saudi Ngamuk Usai Timnasnya Kalah Dari Indonesia,https://turnbackhoax.id/2024/11/27/salah-pendukung-arab-saudi-ngamuk-usai-timnasnya-kalah-dari-indonesia/,2024/11/27
"Pakar gigitan ular berbisa, Tri Maharani, menegaskan bawang merah tidak dapat menyembuhkan gigitan ular berbisa.",Salah! Bawang Merah Untuk Pertolongan Pertama Gigitan Hewan Berbisa,https://turnbackhoax.id/2024/11/27/salah-bawang-merah-untuk-pertolongan-pertama-gigitan-hewan-berbisa/,2024/11/27
Tidak ada sumber kredibel yang membenarkan klaim tentang Tom Lembong bocorkan bobrok Jokowi ke Prabowo.,Salah! Tom Lembong Bocorkan Bobrok Jokowi Ke Prabowo,https://turnbackhoax.id/2024/11/26/salah-tom-lembong-bocorkan-bobrok-jokowi-ke-prabowo/,2024/11/26
Tidak ditemukan informasi dari media kredibel yang membenarkan klaim tersebut.,Salah! Prabowo Gaji TNI Harus Naik Dua Kali Lipat Supaya Lebih Giat,https://turnbackhoax.id/2024/11/26/salah-prabowo-gaji-tni-harus-naik-dua-kali-lipat-supaya-lebih-giat/,2024/11/26
Tidak ditemukan pernyataan resmi dari Prabowo ataupun pemberitaan media kredibel yang membenarkan klaim.,Penipuan! Prabowo Kabulkan Kenaikan Gaji Nakes dan Guru Honorer,https://turnbackhoax.id/2024/11/26/penipuan-prabowo-kabulkan-kenaikan-gaji-nakes-dan-guru-honorer/,2024/11/26
"Cuti bersama serta libur nasional Ramadan dan Idulfitri ada di tanggal 31 Maret—7 April 2025, bukan 45 hari seperti klaim dalam unggahan yang beredar.",Salah! Prabowo Beri Imbauan Libur Ramadan 45 Hari,https://turnbackhoax.id/2024/11/26/salah-prabowo-beri-imbauan-libur-ramadan-45-hari/,2024/11/26
"Akun Facebook “Bantuan DANA Pembangunan PAPUA” dan seluruh unggahannya, termasuk narasi “ada program bantuan untuk lembaga pendidikan senilai Rp8,5 miliar” merupakan konten tiruan (impostor content).",Penipuan! Hibah Miliaran Rupiah Dari Kemenag Untuk Lembaga Pendidikan,https://turnbackhoax.id/2024/11/26/penipuan-hibah-miliaran-rupiah-dari-kemenag-untuk-lembaga-pendidikan/,2024/11/26
"Faktanya, hasil riset meta analisis para peneliti dari The University of Texas mengungkapkan mandi di malam hari dapat meningkatkan kualitas tidur.",Salah! Mandi Malam Hari Berbahaya Untuk Kesehatan,https://turnbackhoax.id/2024/11/26/salah-mandi-malam-hari-berbahaya-untuk-kesehatan/,2024/11/26
"Faktanya, ada UU di Arab Saudi yang melarang adanya promosi ideologi ateis serta upaya yang meragukan dasar-dasar Islam.",Salah! 2025 Arab Saudi Akan memproklamirkan Sebagai Negara Ateis,https://turnbackhoax.id/2024/11/26/salah-2025-arab-saudi-akan-memproklamirkan-sebagai-negara-ateis/,2024/11/26
"Konten tersebut merupakan hasil rekayasa kecerdasan buatan, probabilitas atau kemungkinannya mencapai 98%.",Penipuan! Bantuan Khusus Untuk Rakyat Dari Presiden Prabowo,https://turnbackhoax.id/2024/11/25/penipuan-bantuan-khusus-untuk-rakyat-dari-presiden-prabowo/,2024/11/25
"Faktanya, Whoosh hanya berhenti mendadak karena ada atap seng dari perumahan warga yang jatuh ke rel.",Salah! Kereta Cepat Whoosh Mogok,https://turnbackhoax.id/2024/11/25/salah-kereta-cepat-whoosh-mogok/,2024/11/25
Di laman resmi Basarnas (basarnas.go.id) tidak ditemukan informasi apapun tentang lowongan baru. Hasil Seleksi Kompetensi Dasar (SKD) CPNS 2024 pun sudah diumumkan.,Penipuan! Tautan Pendaftaran CPNS Basarnas,https://turnbackhoax.id/2024/11/25/penipuan-tautan-pendaftaran-cpns-basarnas/,2024/11/25
Divisi Humas Polri menegaskan informasi yang beredar adalah hoaks.,Salah! Tarif Denda Tilang Terbaru,https://turnbackhoax.id/2024/11/25/salah-tarif-denda-tilang-terbaru/,2024/11/25
"Faktanya, warna tersebut adalah penanda atau “eye mark” peka sensor cahaya untuk keperluan pengemasan produk.",Salah! Kandungan Pasta Gigi Bisa Diketahui Dari Kode Warna,https://turnbackhoax.id/2024/11/25/salah-kandungan-pasta-gigi-bisa-diketahui-dari-kode-warna/,2024/11/25
"Faktanya, foto kapal dalam klaim merupakan Kapal Sounion berbendera Yunani yang diserang pemberontak Houthi.",Salah! Yaman Bombardir Kapal Perang AS Pakai Drone dan Rudal,https://turnbackhoax.id/2024/11/25/salah-yaman-bombardir-kapal-perang-as-pakai-drone-dan-rudal/,2024/11/25
"Faktanya, hadiah yang ditawarkan perusahaan hanya Rp26 juta, program undian juga sudah berakhir sejak awal Oktober 2024.",Penipuan! Gebyar Hadiah Ratusan Juta Dari Tolak Angin PT Sido Muncul Tbk,https://turnbackhoax.id/2024/11/24/penipuan-gebyar-hadiah-ratusan-juta-dari-tolak-angin-pt-sido-muncul-tbk/,2024/11/24
"Faktanya, korban kekerasan masih bernyawa dan hanya pingsan saat kejadian.",Salah! Siswa SMP Aniaya Teman Hingga Tewas,https://turnbackhoax.id/2024/11/24/salah-siswa-smp-aniaya-teman-hingga-tewas/,2024/11/24
Tidak ditemukan pernyataan resmi dari Prabowo atau pemberitaan media kredibel yang membenarkan klaim,Salah! Prabowo Bakal Blokir TikTok Shop Lagi Karena Bikin Rugi UMKM,https://turnbackhoax.id/2024/11/24/salah-prabowo-bakal-blokir-tiktok-shop-lagi-karena-bikin-rugi-umkm/,2024/11/24
Tidak terdapat informasi mengenai loker petugas operasional bus di laman resmi dephub.go.id maupun di pemberitaan media kredibel.,Penipuan Dinas Perhubungan Buka Loker Petugas Operasional Bus,https://turnbackhoax.id/2024/11/24/penipuan-dinas-perhubungan-buka-loker-petugas-operasional-bus/,2024/11/24
"Faktanya, mata uang BRICS masih dalam pengembangan dan belum diluncurkan.",Salah! Mata Uang BRICS Setara 3.660.000 Rupiah,https://turnbackhoax.id/2024/11/24/salah-01-mata-uang-brics-setara-3-66000-rupiah/,2024/11/24
Tidak ditemukan informasi resmi yang membenarkan klaim.,Salah! Dana Hibah Pandemi dan UU Kesehatan Omnibus Law Berkaitan dengan Rekayasa Pandemi Selanjutnya,https://turnbackhoax.id/2024/11/24/salah-dana-hibah-pandemi-dan-uu-kesehatan-omnibus-law-berkaitan-dengan-rekayasa-pandemi-selanjutnya/,2024/11/24
Tautan pendaftaran mengarah ke laman berisi formulir yang meminta sejumlah data pribadi.,Penipuan Penawaran Paylater BCA dari Tautan Tidak Resmi,https://turnbackhoax.id/2024/11/23/penipuan-penawaran-paylater-bca-dari-tautan-tidak-resmi/,2024/11/23
"Faktanya, pose jari tangan RK bukan untuk menunjukkan angka 3, tetapi gestur angka nol dengan menyatukan ibu jari dan telunjuk.",Salah! Pose 3 Jari Ridwan Kamil Dukung Pasangan Pram-Doel,https://turnbackhoax.id/2024/11/23/salah-pose-3-jari-ridwan-kamil-dukung-pasangan-pram-doel/,2024/11/23
"Hasil deteksi Hive Moderation menunjukkan konten yang beredar adalah rekayasa AI, probabilitas atau kemungkinannya mencapai 99,8 persen.",Penipuan Cagub Jabar Dedi Mulyadi Berbagi Uang Puluhan Juta di TikTok,https://turnbackhoax.id/2024/11/23/penipuan-cagub-jabar-dedi-mulyadi-berbagi-uang-puluhan-juta-di-tiktok/,2024/11/23
"Unggahan yang beredar merupakan hasil rekayasa AI, probabilitasnya mencapai 99,9%.",Penipuan Video Dharma Pongrekun Mau Bagi Uang Rp15 Juta,https://turnbackhoax.id/2024/11/23/penipuan-video-dharma-pongrekun-mau-bagi-uang-rp15-juta/,2024/11/23
Tidak ada pemberitaan dari media kredibel yang membenarkan klaim.,"Salah! Cagub Jateng Ahmad Luthfi Kalau Arahan Telah Kuberikan, Sabda Nabi Pun Harus Kau Tinggalkan",https://turnbackhoax.id/2024/11/23/salah-cagub-jateng-ahmad-luthfi-kalau-arahan-telah-kuberikan-sabda-nabi-pun-harus-kau-tinggalkan/,2024/11/23
"Faktanya, kebijakan yang diambil adalah mengundang investor Vietnam untuk membangun industri sapi perah di Indonesia.",Salah! Pemerintah Mau Impor 18 Juta Ton Susu untuk Program Makan Bergizi,https://turnbackhoax.id/2024/11/22/salah-pemerintah-mau-impor-18-juta-ton-susu-untuk-program-makan-bergizi/,2024/11/22
"Faktanya, KPU Sleman tidak pernah melakukan penilaian, mengeluarkan hasil analisis, maupun melakukan survei tentang debat dan hasil debat.",Salah! KPU Sleman Sebar Flyer Hasil Analisis Debat Pilkada Sleman 2024,https://turnbackhoax.id/2024/11/22/salah-kpu-sleman-sebar-flyer-hasil-analisis-debat-pilkada-sleman-2024/,2024/11/22
Kementerian Kesehatan RI telah menegaskan Mpox bukan efek samping vaksin dari COVID-19.,Salah! WHO Akui Mpox Sebagai Efek Samping Vaksin Covid-19,https://turnbackhoax.id/2024/11/22/salah-who-akui-mpox-sebagai-efek-samping-vaksin-covid-19/,2024/11/22
Tidak ditemukan pemberitaan dari media kredibel yang membenarkan klaim.,Salah! Dirut Garuda Indonesia Dipecat Prabowo Karena Tolak Turunkan Harga Tiket,https://turnbackhoax.id/2024/11/22/salah-dirut-garuda-indonesia-dipecat-prabowo-karena-tolak-turunkan-harga-tiket/,2024/11/22
Unggahan akun TikTok “kantorposindonesia_01” yang berisi informasi loker PT Pos Indonesia merupakan konten tiruan (impostor content).,Penipuan Kirim Loker PT Pos Indonesia Lewat Sebuah Tautan,https://turnbackhoax.id/2024/11/22/penipuan-kirim-loker-pt-pos-indonesia-lewat-sebuah-tautan/,2024/11/22
Kemenko Perekonomian telah menandai informasi tersebut sebagai hoaks.,Penipuan Rekrutmen Tenaga Pendukung Teknis Kemenko Perekonomian,https://turnbackhoax.id/2024/11/22/penipuan-rekrutmen-tenaga-pendukung-teknis-kemenko-perekonomian/,2024/11/22
Informasi resmi mengenai perekrutan calon karyawan hanya bisa diakses di https://ptfi.co.id/id/karir.,Penipuan Lamaran Kerja di PT Freeport Indonesia,https://turnbackhoax.id/2024/11/21/penipuan-lamaran-kerja-di-pt-freeport-indonesia/,2024/11/21
Tidak ditemukan informasi resmi dari laman wapresri.go.id tentang program tersebut.,Penipuan Wapres Gibran Bikin Program Bedah Rumah,https://turnbackhoax.id/2024/11/21/penipuan-wapres-gibran-bikin-program-bedah-rumah/,2024/11/21
Kuis tersebut tidak ditemukan di akun media sosial pribadi Dedi Mulyadi.,Penipuan Kuis Tebak Kata dari Cagub Jabar Dedi Mulyadi Hadiah Rp50 Juta,https://turnbackhoax.id/2024/11/21/penipuan-kuis-tebak-kata-dari-cagub-jabar-dedi-mulyadi-hadiah-rp50-juta/,2024/11/21
Informasi resmi mengenai lowongan kerja di LKPP hanya bisa diakses dari laman www.rekrutmen.lkpp.go.id.,Penipuan Loker Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),https://turnbackhoax.id/2024/11/21/penipuan-loker-lembaga-kebijakan-pengadaan-barang-jasa-pemerintah-lkpp/,2024/11/21
"Konten yang beredar merupakan hasil suntingan dari berita berjudul “Tampil Gemilang di Debat Perdana, Luthfi-Gus Yasin Buktikan Siap Pimpin Jawa Tengah”.",Salah! Ahmad Luthfi Bilang Mau Kembali ke Kampung Jika Kalah Pilkada Jateng,https://turnbackhoax.id/2024/11/21/salah-ahmad-luthfi-bilang-mau-kembali-ke-kampung-jika-kalah-pilkada-jateng/,2024/11/21
