Statement,Narrative,Label
"anus aniesbaswedan ini anak-anak yang ikutan demo kemaren, yang kau suruh untuk merusak fasilitas umum belum dapat bayaran, anjing kau anus pedofil baswedan","sebuah akun twitter bernama dina natalia lee telah mengunggah sebuah video mengenai remaja yang mengikuti demo pada 22 agustus 2024 karena dibayar 85 ribu. postingan tersebut diunggah pada 24 agustus 2024. 
setelah dilakukan penelusuran dengan menggunakan google search image, diarahkan pada artikel berita kabaraktual.id. thumbnail dalam artikel tersebut juga mirip dengan tangkapan layar pada video tersebut. artikel tersebut juga telah diunggah pada tanggal 6 maret 2024. 
dilansir dalam kabaraktual.id, terdapat 3 remaja yang mengaku melakukan demo karena dijanjikan akan dibayar 85 ribu oleh seseorang bernama ambon. akan tetapi, setelah demo selesai mereka mengatakan bahwa belum dibayar.
pencarian berikutnya pun diarahkan pada kanal youtube qnc opposite channel dengan judul “terciduk! dijanjikan 85 ribu buat ikut demo bela jokowi” yang telah diunggah pada 6 maret 2024. setelah dilakukan penelusuran, video tersebut berkemungkinan besar merupakan video saat terjadi demo menolak hasil pemilu dan mendorong penggunaan hak angket yang terjadi pada 5 maret 2024.",1
"“pak anies mendukung ridwan kamil untuk menjadi gubernur jakarta. semakin mantap nih pasangan rido, yakin menang 1 putaran”","pada jumat (2/11/2024) akun tiktok “beka.mursadat” mengunggahvideo yang menampilkan anies baswedan bersalaman dengan ridwan kamil. unggahan disertai narasi:
“pak anies mendukung ridwan kamil untuk menjadi gubernur jakarta. semakin mantap nih pasangan rido, yakin menang 1 putaran”
hingga rabu (13/11/2024), unggahan menuai lebih dari 300 tanda suka, dikomentari hampir 100 kali, dan dilihat sekitar 22 ribu kali.
tim pemeriksa fakta mafindo (turnbackhoax) tidak menemukan informasi yang menyatakan anies mendukung ridwan kamil untuk gubernur dki jakarta di video tersebut. sampai artikel ini diterbitkan, belum ada pernyataan anies soal dukungannya di pilkada jakarta 2024.
melansir laporantempo.co, jumat (11/10/2024), juru bicara anies, sarin hamid, menyatakan anies belum mengukuhkan dukungan resmi ke salah satu pasangan calon gubernur dan wakil gubernur di pilkada jakarta.",1
"di mawang surat suara sdh tercoblos 2. waduhh sudah mulai curang pihak lawan tolong klarifikasi husniahtalenrang
bawaslu_ri partaigerindra ","beredar video di media sosial, terkait terjadinya surat suara yang tercoblos sebelum pemilihan. peristiwa tersebut terjadi di tps 001 kelurahan mawang, kecamatan somba opu, gowa.
ketua kpps membenarkan kejadian tersebut, terjadi sebelum pemilihan yang berlangsung pada 27 november 2024.
pemilihan serentak yang berlangsung pada senin, 27 november 2024, di kabupaten gowa, sulawesi selatan, diwarnai insiden yang mencoreng jalannya pesta demokrasi.
beberapa surat suara ditemukan telah tercoblos sebelum digunakan di sejumlah tempat pemungutan suara (tps) di kecamatan somba opu.
insiden pertama dilaporkan di tps 001 kelurahan mawang, di mana warga yang hendak mencoblos mendapati surat suara telah tercoblos di kolom pilihan dua pasangan calon bupati dan wakil bupati. kasus ini pun sempat viral di tiktok hingga akhirnya dihapus.
ketua kelompok penyelenggara pemungutan suara (kpps) tps 001, agung mono, membenarkan kejadian tersebut.
“surat suara itu sudah tercoblos di dua pasangan calon. kami langsung mengganti surat suara yang tercoblos dengan yang baru,” kata agung.
tidak berselang lama, kejadian serupa terulang di tps 011 kelurahan romang polong. ketua tim hukum pasangan calon (paslon) nomor 1, amir uskara-irmawati, andi hakim, mengungkapkan bahwa pihaknya menemukan surat suara yang sudah tercoblos di lokasi tersebut.
“kami menerima laporan dari saksi kami di tps 001 tentang surat suara tercoblos. setelah itu, ditemukan lagi kasus serupa di tps 011. ini sangat mencurigakan dan bisa mencederai kepercayaan masyarakat terhadap pemilu,” ujar andi hakim dengan nada serius.
dugaan kelalaian panitia
menurut andi hakim, kasus ini diduga kuat akibat kelalaian panitia pemilu dalam proses persiapan. ia menyebutkan bahwa distribusi surat suara seharusnya diawasi lebih ketat untuk menghindari potensi kecurangan. timnya langsung turun ke lokasi untuk memastikan kejadian ini tidak meluas ke tps lain.
di sisi lain, pihak penyelenggara pemilu, termasuk kpps, berusaha menenangkan situasi. kpps mengambil langkah cepat dengan mengganti surat suara yang tercoblos dengan surat suara baru sebelum diberikan kepada pemilih.
“kami memahami kekhawatiran masyarakat. oleh karena itu, setiap surat suara yang rusak atau sudah tercoblos langsung kami ganti demi menjaga kelancaran proses pemungutan suara,” ujar agung mono.",0
"sah…!!!
pdi perjuangan usung anies baswedan  
kamis 28 agustus mendaftar ke kpu  
akhirnya pdi perjuangan usung anies di pilgub dki","beredar unggahan yang menyatakan bahwa anies baswedan sah diusung oleh pdi perjuangan di pemilihan gubernur dki jakarta 2024. dalam unggahan ini juga dikatakan bahwa anies akan mendaftar di kpu pada tanggal 28 agustus. video ini diunggah oleh akun tiktok bernama taufikilham46 pada 27 agustus 2024.
setelah dilakukan penelusuran ternyata informasi tersebut tidaklah benar. dilansir dari  partai demokrasi indonesia perjuangan (pdip) telah resmi mengusung kadernya sendiri yaitu pramono anung dan rano karno sebagai calon gubernur dan wakil gubernur di pilkada jakarta 2024.
selain itu, dikutip dari  sekretaris kabinet pramono anung wibowo dan mantan wakil gubernur banten rano karno selaku cagub-cawagub yang diusung pdip telah resmi mendaftar ke kpu dki pada rabu, 28 agustus 2024 untuk mengikuti pilgub jakarta.
dengan demikian, dapat disimpulkan klaim di atas tidaklah benar.",1
"mahasiswa sudah menguasai masuk dalam gedung dpr_ri semestinya jokowi mundur, rakyat sudah tak membutuhkan lagi.","setelah melakukan penelusuran menggunakan google lens ditemukan gambar yang mirip pada artikel milikgosulsel.comdengan judul artikel “demo mahasiswa di sinjai, sejumlah fasilitas dprd rusak”.
demo yang dilakukan oleh aliansi mahasiswa muhammadiyah tersebut terjadi di kantor dprd kabupaten sinjai pada selasa (24/9/2019).  sambil menunggu adanya anggota dprd untuk menemui mereka, mahasiswa bergantian berorasi. dengan tuntutan diantaranya menolak ruu pertanahan, rhukp, ruu kpk, dan ruu ketenaga kerjaan.",1
"“dua atlet pemegang sabuk hitam mesir mengibarkan bendera palestina setelah
mengalahkan lawan asal israel di olimpiade paris”.

“#free palestine”.","setelah menelusuri video yang diunggah ceuhokki dengan yandex video search dan memasukkan beberapa tangkapan layar dari video tersebut ke tineye, terlihat banyak video yang sama persis yang telah diunggah sejak 2022, salah satunya oleh akun youtube “itkf – international traditional karate federation”. video yang diunggah pada 20 november 2022 tersebut diberi judul “part 2 – world champions 2022 itkf”.
selain itu, pada laman resmi olimpiade paris 2024 pada bagian daftar cabang olahraga yang dilombakan, tidak terlihat cabang olahraga karate, yang berarti cabang olahraga ini tidak dilombakan di olimpiade paris 2024.",1
“news update !!!israel zionist berduka !!pembalasan dari pejuang #hizbullah sangat menyakitkan !!nyawa panglima tertinggi israel herzi halefi tewas oleh pejuang hizbullah”,"akun x “21_mozza” pada sabtu (19/10/2024) mengunggahvideo, isinya berita tentang tewasnya herzi halevi (panglima tertinggi israel) akibat serangan misil hizbullah.
unggahan tersebut diikuti cuitan:
“news update !!!israel zionist berduka !!pembalasan dari pejuang #hizbullah sangat menyakitkan !!nyawa panglima tertinggi israel herzi halefi tewas oleh pejuang hizbullah”
per selasa (12/11/2024) unggahan disukai hampir 4.000 akun dan dibagikan ulang lebih dari 900 kali.
dari penelusuran tim pemeriksa fakta mafindo (turnbackhoax) lewat mesin pencari google, tidak ada berita yang mengonfirmasi kematian herzi halevi. melansir pemberitaan the times of israel, panglima tertinggi israel itu masih menghadiri rapat kabinet soal keamanan israel pada minggu (20/10/2024).
turnbackhoax kemudian mengamati video unggahan akun x “21_mozza”, terlihat logo media ap di bagian kanan atas. penelusuran berlanjut ke kanal youtube resmi ap, “ap archive”. hasilnya, ditemukan unggahan serupa berjudul “hundreds at funeral for israeli soldier in jerusalem”.
video asli merupakan dokumentasi pemakaman tentara israel pada juli 2023, tak membenarkan narasi terbunuhnya herzi halevi.",1
"gemp4rr!! koalisii sudah pec4h, prabowo dan j0kowi saling ser4ng! ~ breakingnewsbreaking newsjokowi dan prabowo retakkini saling bongkar kasus besar ri","beredar sebuah video dari channel youtube bernama infotama news bernarasikan jokowi dan prabowo saling bongkar kasus besar di republik indonesia (ri). video tersebut beredar pada 1 september 2024.
setelah dilakukan penelusuran, gambar thumbnail yang ditampilkan dalam video tersebut merupakan hasil manipulasi dari gabungan beberapa gambar berbeda. beberapa cuplikan video yang ditampilkan juga tidak mendukung klaim narasi.
narator dalam video hanya membacakan ulang artikel dari rmol.id berjudul “kemesraan jokowi dan prabowo kini sudah retak”. artikel ini membahas tentang indikasi keretakan hubungan jokowi dan prabowo yang terlihat dalam narasi politik yang dibangun jokowi maupun prabowo di kesempatan terpisah.
selain itu narator juga membacakan artikel lain dari rmol.id dengan judul “kpk perlu dalami sumber dana jet pribadi kaesang pangarep”. narasi tersebut membahas tentang pakar kebijakan publik achmad nur hidayat yang mengatakan kaesang pangarep harus menjelaskan asal usul jet pribadi yang dia pakai ke amerika serikat bersama istrinya itu harus menjadi terang di publik.",1
 “inilah foto desain dan hasil konstruksi pembangunan istana garuda karya nyoman nuarta di ibu kota negara nusantara.”,"sejumlah gambar beredar di facebook yang diklaim memperlihatkan hasil pembangunan patung garuda di ibu kota nusantara (ikn), di kabupaten penajam paser utara, kalimantan timur, tak sesuai dengan desain awalnya.
berikut narasi lengkapnya: “inilah foto desain dan hasil konstruksi pembangunan istana garuda karya nyoman nuarta di ibu kota negara nusantara.”
namun, benarkah realisasi pembangunan patung garuda ikn tidak sama dengan desain awal?dilansir tempo, desain awal patung garuda ikn adalah berbentuk burung dengan kedua sayap membentang, serta kepala dan paruh yang muncul ke depan. di seluruh bagian patung burung itu, terdapat rongga-rongga yang memunculkan kesan motif garis-garis.
desain awal itu dibuat oleh seniman patung asal bali, i nyoman nuarta, pada sekitar maret 2020. namun pada april 2021 dia menyatakan merevisi desainnya menjadi kepala tegak dan menoleh ke kanan seperti lambang negara garuda indonesia.
ditambah lagi, menurut direktur jenderal cipta karya kementerian pekerjaan umum dan perumahan rakyat (pupr), diana kusumastuti, desain patung raksasa tersebut belum final.
saat itu desain tersebut masih di tahap pre basic design, sebagaimana yang dilaporkan juga oleh tempo. masih butuh melewati sejumlah tahap agar rancangan konstruksi patung tersebut bisa mulai dibangun. 
“tahapan selanjutnya, basic design, lalu ada perencanaan lagi, jadi masih panjang prosesnya jadi kami masih mengatur itu. karyanya sudah mendekati, finalnya itu masih proses nanti sampai agustus,"" kata dian pada 29 maret 2021.
kemudian, nuarta mengunggah video yang memperlihatkan desain akhir patung garuda ikn di akun instagram miliknya tanggal 11 juni 2022. video juga memperlihatkan bagian-bagian dari area ikn tersebut. “desain final istana ikn,” tulis nuarta.
kembali didapati perbedaan pada desain versi terakhir dengan desain sebelumnya, yakni kepala burung garuda tidak muncul ke depan maupun tegak. namun desain kepala burung garuda tersebut diklaim menghadap ke depan.
selain itu, di desain awal masing-masing sayap garuda dalam desain awal memiliki tujuh tonjolan mirip jari. namun, di desain akhir menjadi empat ujung sayap yang mencuat ke arah atas.
berikut gambar perbandingan desain awal, desain akhir dan hasil realisasi pembangunan patung garuda raksasa di ikn:\
gambar nomor 1 adalah desain awal yang memperlihatkan patung garuda dengan kepala yang maju ke depan. 
gambar nomor 2 memperlihatkan desain akhir patung garuda ikn. 
gambar nomor 3 merupakan hasil realisasi desain tersebut, yang dipotret pewarta foto antara, m risyal hidayat, jumat, 9 agustus 2024.
spesifikasi istana garuda
dilansir tempo, istana garuda yang memiliki patung garuda raksasa itu ditujukan menjadi ikon ikn. istana garuda dan berbagai fasilitas akan dibangun di kawasan ikn yang luasnya 252.000 hektare.
diterangkan bahwa istana garuda mendapat jatah lahan seluas 3,5 hektare dengan bangunan 4 lantai. sementara patung garuda raksasa sesungguhnya merupakan instalasi dari 4.650 bilah logam, dari berbagai jenis. 
“sosok burung garuda pada istana garuda akan dibangun dari kerangka baja, bagian cangkang dari tembaga, kuningan, dan galvalum. tembaga dan kuningan nantinya akan mengalami proses oksidasi, sehingga perlahan-perlahan akan berubah warna menjadi hijau tosca yang matang,” kata nuarta.
patung garuda tersebut direncanakan memiliki tinggi 77 meter dan sayap membentang sepanjang 177 meter dari ujung kanan sampai kiri, serta tingginya mencapai 77 meter. ",0
"“temen2 pls viralkan ini, kalau tdk ada tanda tangan kpps di surat suara balikan ya….
jadi kalau terima surat suara yg tdk ada tanda tangan kpps nya, tdk sah ya….
orang byk yg gak tahu”","berdasarkan hasil penelusuran tempo.co, foto yang beredar adalah surat suara palsu
foto yang beredar di grup whatsapp itu sebenarnya adalah surat suara palsu yang ditemukan oleh kelompok penyelenggara pemungutan suara atau kpps di tps 23 pajang solo saat pilkada serentak di kota surakarta pada 9 desember 2015, seperti dilaporkan oleh situs kbr.
panitia menemukan lembaran surat suara tersebut saat proses penghitungan hasil pemungutan suara yang selisih 1 lembar dengan proses penghitungan ketika di awal pemungutan suara.
surat suara itu palsu karena tidak ada keterangan lengkap nomor tps, kelurahan, kecamatan, dan tandatangan ketua kpps. warna surat suara juga lebih terang daripada surat suara lainnya. surat suara ini juga sudah tercoblos atau berlubang di salah satu gambar pasangan calon.
saat itu, pilkada di kota solo diikuti 2 pasangan calon. yakni pasangan dari koalisi solo bersama (ksb), anung indro susanto-muhammad fajri dan pasangan calon dari pdi perjuangan, f.x. hadi rudyatmo-achmad purnomo. ksb didukung koalisi partai demokrat, partai amanat nasional, partai gerindra, partai golkar, partai persatuan pembangunan dan partai keadilan sejahtera.",0
"hanya melawan pasukan ormas hamas di palestina dan pasukan partai politik hizbullah di lebanon, dengan persenjataan lengkap dan modern pasukan zionis israel dan as masih kesulitan mengalahkan kelompok perlawanan. kini as kembali menambah kehadiran pasukannya di israel.","akun x “yo2thok” mengunggahvideoberdurasi 2 menit 20 detik pada selasa (05/11/2024)  disertai cuitan:
hanya melawan pasukan ormas hamas di palestina dan pasukan partai politik hizbullah di lebanon, dengan persenjataan lengkap dan modern pasukan zionis israel dan as masih kesulitan mengalahkan kelompok perlawanan. kini as kembali menambah kehadiran pasukannya di israel.
per kamis (14/11/2024) video itu sudah menuai lebih dari 47 ribu tayangan dan dibagikan ulang sekitar 482 kali.
tim pemeriksa fakta mafindo (turnbackhoax) pertama-tama menelusuri kebenaran klaim dengan memasukkan gambar ke mesin google lens. hasilnya, diketahui video tersebut merupakan potongan dokumentasi unggahan kanal youtube defense now berjudul “101st airborne division (air assault) soldiers arrive in mihail kogainiceani, romania, june 28, 2022”.
konteks asli video sama sekali tak ada hubungannya dengan bantuan tentara as melawan hamas dan pasukan partai politik hizbullah.
dokumentasi tentara airborne us army yang turun dari pesawat itu merupakan video lawas. penelusuran di padanan gambar mengarah ke kanal youtube defence now yang mengunggah video berdurasi lebih panjang pada juni 2022 (jauh sebelum konflik palestina-israel memanas).
sebelumnya, turnbackhoax sudah meluruskan klaim serupa lewat artikel “salah tentara amerika serikat sudah tiba di israel untuk jalankan operasi militer bersama idf” yang tayang november 2023.",1
"""tidak, saya ingin membantah yang ditulis itu. kemarin saya sudah kirim teks langsung ke pemrednya karena yang ditulis di (salah satu media) sebagian itu fiktif,"" ujar gubernur dki jakarta, anies baswedan, selasa (4/9). ","mengetahui hal tersebut, anies menjelaskan yang dituliskan itu tidak sepenuhnya benar. “tidak, saya ingin membantah yang ditulis itu. kemarin saya sudah kirim teks langsung ke pemrednya karena yang ditulis di (salah satu media) sebagian itu fiktif,” ujar anies, selasa (4/9).
anies yang juga mantan menteri pendidikan dan kebudayaan menjelaskan bahwa keputusan pergantian sandiaga uno yang akan bertarung di pilpres 2019, berada ditangan partai pengusung yakni gerindra dan pks.
“cek ke partai saja ya bukan ke saya karena pengusulannya di partai,” tegas anies,
seperti yang pernah disampaikan, anies hanya ingin pendampingnya kelak sesuai dengan undang-undang. mengikuti ketentuan dan peraturan negara, selama memenuhi dirinya akan menerima.
“merujuknya pada undang-undang karena ini adalah sebuah posisi yang diaturnya pakai ketentuan pemerintah ketentuan negara. selama sesuai dengan ketentuan negara maka sah secara proses,” pungkas anies.",0
"“menteri pendidikan baru:– jadikan nem sebagai syarat masuk smp, sma– hapus pmm (platform merdeka mengajar)– kembalikan mapel pmp– berlakukan syarat tidak naik kelas/tidak lulus, jangan dipaksakan naik/lulus kalau tidak memenuhi syarat– berlakukan kembali rapor merah– biarkan guru fokus ngajar, fokus sama siswa bukan ngurus administrasi dari a-z– dan lain-lain”","akun x “boediantar4” pada rabu (23/10/2024) mengunggahfoto berisi sejumlah poin yang diklaim sebagai gebrakan baru menteri pendidikan dasar dan menengah (mendikdasmen) abdul mu’ti.
berikut narasi dalam foto:
“menteri pendidikan baru:– jadikan nem sebagai syarat masuk smp, sma– hapus pmm (platform merdeka mengajar)– kembalikan mapel pmp– berlakukan syarat tidak naik kelas/tidak lulus, jangan dipaksakan naik/lulus kalau tidak memenuhi syarat– berlakukan kembali rapor merah– biarkan guru fokus ngajar, fokus sama siswa bukan ngurus administrasi dari a-z– dan lain-lain”
per rabu (6/11/2024) cuitan tersebut sudah dilihat lebih dari 3,2 juta kali, disukai sekitar 27 ribu akun, dan dihujani 3.700-an komentar.
tim pemeriksa fakta mafindo (turnbackhoax) menelusuri klaim dalam unggahan lewat mesin pencarian google dengan kata kunci “gebrakan baru menteri pendidikan”. hasilnya, kementerian terkait telah membantah narasi tersebut di akun instagram resmi “kemdikbud.ri”.
“informasi yang beredar di media sosial dan grup percakapan terkait poin gebrakan #menteripendidikanbaru tidak bersumber dari pernyataan mendikdasmen abdul mu’ti, maupun kanal informasi resmi kemendikdasmen,” tulis kementerian itu, kamis (24/10/2024).",1
"“info paniai news
pada hari ini minggu tanggal 26 mei 2026 jam 07.23 wit, tentara nasional
indonesia tni di usir dengan paksa pasie rumah sakit kabupaten paniai dan igd
saat ini telah di tutup oleh tni polri. pasien semua pulang paksa, pasien
sakit ada yang cari rumah sakit deiayi, dogiyai & nabire. poto tni tutupp igd.
demikian informasi sementara pgi ini.”","artikel disadur darikompas.com.sebuah akun facebook bersama mrb bhe mengunggah sebuah reels dengan narasi tni dan polri menutup akses terhadap rumah sakit umum daerah madi paniai dan memulangkan paksa para pasien yang sakit.
mengutip darikompas.com, kepala penerangan komando daerah militer (kapendam) xvii/cendrawasih letkol infanteri candra kurniawan membantah narasi aparat gabungan tni-polri mengusir pasien dan menutup rsud madi. narasi tersebut merupakan hoaks yang sengaja disebarkan secara terus menerus oleh kelompok organisasi papua merdeka.
dari penjelasan tersebut, dapat disimpulkan bahwa tni dan polri mengusir paksa pasien di rumah sakit umum daerah (rsud) madi kabupaten paniai, papua merupakan informasi tidak valid dan tidak terbukti.",1
"“itu ada beton yang renggang, itu kan biasanya diisi karet, ini karetnya yang mau diganti. karena kalau kita lihat lrt saja, sambungannya tidak rapat kan, karena dengan panas dingin itu memuai menyusut kemudian memuai lagi dan menyusut lagi,” terang basuki.","perihal viralnya informasi yang menyebutkan jembatan layang rawa buaya retak, kementerian pekerjaan umum dan perumahan rakyat (pupr) angkat bicara. menteri pupr basuki hadimuljono menjelaskan, jembatan layang rawa buaya tidak renggang hanya mengalami peregangan karet karena faktor cuaca dan juga tekanan dari kendaraan yang melintas di atasnya.
“itu ada beton yang renggang, itu kan biasanya diisi karet, ini karetnya yang mau diganti. karena kalau kita lihat lrt saja, sambungannya tidak rapat kan, karena dengan panas dingin itu memuai menyusut kemudian memuai lagi dan menyusut lagi,” terang basuki.
senada dengan menteri basuki, direktur jenderal bina marga kementerian pupr sugiyartanto mengatakan, jembatan layang yang dibangun pada 2008 tersebut bukan mengalami keretakan, namun memang perlu dilakukan penggantian penahan beban atau “pot bearing” sekaligus penggantian bantalan karet jembatan (elastomer).
“kita ganti perletakannya, sekaligus kita harus ganti elastomir antara lantai. jadi itu diganti perletakannya sekaligus hubungan antar lantai penghubung, itu kan ada karet penghubungnya, hanya itu saja. sebenarnya tidak ada yang perlu dikhawatirkan di viral ada retak renggang segala macam,” ujarnya.
sugiyartanto juga mengatakan, proses penggantian penahan beban dan bantalan karet jembatan tersebut merupakan bagian dari kegiatan pemeliharaan jembatan yang dilakukan kementerian pupr. proses pemeliharaan tersebut akan berlangsung selama 14 hari terhitung dari rabu (26/12) kemarin.
“itu kan dibangun 2008, repetisi atau berulangnya kendaraan berat lewat, perletakan tadi perlu penggantian , sekarang dalam pelaksanaan itu. kalau renggang, itu kan nanti melorot atau retak atau terjadi defleksi atau luntur itu, tidak ada. itu masih dalam batas wajar penggantian elastomir atau karet penghubung antar lantai tadi,” kata dia.",0
“wawancaraku dengan detik sudah agak lama dan tidak ada kaitannya dengan capres-cawapres. rekayasanya: dia gabungkan wawancaraku itu dengan pernyataan kiai ma’ruf amin baru-baru ini.” tulis gus mus di akun twitter miliknya.,"beredar video yang menampilkan gus mus seolah-olah menanggapi pernyataan dan orasi calon wakil presiden nomor urut 01 maruf amin.
di video itu, terlihat maruf amin berorasi di atas panggung bahwa pemerintah sudah membuat tol darat, tol laut, tol udara hingga tol langit.
“bahkan sekarang sudah bikin tol, tol darat, tol laut, tol udara, tol langit juga ada,” ujar maruf amin dalam orasinya.
adegan tersebut berganti dengan wawancara gus mus dengan seorang pria dengan latar dan waktu yang berbeda.
dalam adegan itu, gus mus mengatakan jelas ada yang soak dan tidak waras karena berlebih-lebihan.
“itu jelas ada yang soak. ndak, itu karena apa? karena berlebih-lebihan. jangan sampean mencintai orang berlebih-lebihan dan jangan membenci orang berlebih-lebihan. anda nanti tidak waras,” ujar gus mus dalam video itu.
budayawan sekaligus pengasuh pondok pesantren raudlatut thalibin, ahmad mustofa bisri alias gus mus, merasa difitnah melalui video hasil editan alias rekayasa.
kekecewaan tersebut dilontarkan gus mus melalui akun jejaring sosial instagram, s.kakung, dan akun twitter gusmusgusmu, miliknya.
“wawancaraku dengan detik sudah agak lama dan tidak ada kaitannya dengan capres-cawapres. rekayasanya: dia gabungkan wawancaraku itu dengan pernyataan kiai ma’ruf amin baru-baru ini.” tulis gus mus di akun twitter miliknya.
wawancara yang dimaksud adalah wawancara gus mus dengan wartawan dari detik, yang diunggah ke akun youtube milik detikcom pada tanggal 5 maret 2019 dengan judul blak-blakan gus mus, pemilu bukan perang badar”
sementara itu di akun instagramnya, gus mus menulis:
“agar video editan keterlaluan kemarin tidak semakin meluaskan fitnah, unggahanku tentang hal itu aku hapus.
upaya menyebar fitnah dan adu domba di antara kita, tetap kita lawan dengan akal sehat dan adab hamba yang beriman. semoga allah memberi taufik dan hidayah kepada kita semua. semoga allah merahmati bangsa ini. ãmïn. :pray:”
sebelumnya, gus mus menegaskan bahwa video yang diunggah pelaku itu merupakan hasil editan. bahkan, dia menyebut si pelaku tega hanya gara-gara kepentingan politik bisa merekayasa.
“gara-gara kepentingan politik sesaat, ada manusia yang tega membuat editan seperti ini. rekayasa keterlaluan semacam ini sama sekali tidak sebanding dengan keuntungan politis–kalau memang ada–yang akan diperoleh dan dinikmatinya,” tulis gus mus.
gus mus menuliskan, “kalau pun berhasil (banyak atau ada yang percaya dengan bikinannya ini), paling berapa lama akan dinikmatinya. 5 tahun? 10 tahun? 100 tahun?”
meski begitu, gus mus tetap mendoakan pelaku yang merekayasa rekaman video tersebut.
“bila yang membuat rekayasa ini manusia beriman, semoga allah memberi hidayah dan kesejahteraan hidup yang cukup,” tulis gus mus.
sementara itu, pelaku pembuat dan penyebar video tersebut sudah meminta maaf atas perbuatannya itu.
pemilik akun shenall.ap tersebut ingin bertemu dan meminta maaf secara langsung kepada gus mus atas perbuatannya melalui status terbaru instagram miliknya.
“mohon maaf yang sebesar-besarnya mbah. bagaimana supaya saya bisa langsung berkomunikasi kepada mbah untuk melakukan klarifikasi dan permohonan maaf s.kakung,” tulis akun shenall.ap.
dia juga mengunggah foto permintaan maaf untuk semua orang yang kecewa dengan unggahan video rekayasa yang mengadu domba gus mus dan maruf amin.
“buat saudara-saudaraku yang kecewa dengan postingan ana, saya minta maaf. kalau ada yang bisa saya hubungi supaya permohonan maaf saya bisa sampai ke s.kakung (akun gus mus–red),” demikian tertulis di foto itu.",0
